Date,Open,High,Low,Close
04/09/2026,"4,744.80","4,826.00","4,718.60","4,818.00"
04/08/2026,"4,747.20","4,888.00","4,720.60","4,777.20"
04/07/2026,"4,678.60","4,745.70","4,631.90","4,684.70"
04/06/2026,"4,675.00","4,733.10","4,626.20","4,684.70"
04/02/2026,"4,783.00","4,825.90","4,580.40","4,679.70"
04/01/2026,"4,698.40","4,821.00","4,690.00","4,813.10"
03/31/2026,"4,538.90","4,717.60","4,510.00","4,678.60"
03/30/2026,"4,520.00","4,611.40","4,444.70","4,557.50"
03/27/2026,"4,371.80","4,552.10","4,369.10","4,492.50"
03/26/2026,"4,508.90","4,541.60","4,348.20","4,376.30"
03/25/2026,"4,473.50","4,601.00","4,458.20","4,552.30"
03/24/2026,"4,414.80","4,485.60","4,306.30","4,402.00"
03/23/2026,"4,450.00","4,537.10","4,100.00","4,407.30"
03/20/2026,"4,653.90","4,738.20","4,478.40","4,574.90"
03/19/2026,"4,828.00","4,868.70","4,505.00","4,605.70"
03/18/2026,"5,010.60","5,022.00","4,809.30","4,896.20"
03/17/2026,"5,012.20","5,049.40","4,977.00","5,008.20"
03/16/2026,"5,010.00","5,044.50","4,970.10","5,002.20"
03/13/2026,"5,084.00","5,132.40","5,014.10","5,061.70"
03/12/2026,"5,185.40","5,197.80","5,058.20","5,125.80"
03/11/2026,"5,194.00","5,230.90","5,155.90","5,179.10"
